PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipGNV1BF            : 5                                               
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 29                                              
SOFTWARE VERSION              : @(#) gni1a2gnv1b.c       1.6 05/06/03           
SOFTWARE LINK TIME            : @(#) 2003-09-11 14:15:47 glk  j2                
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE B                                         
SENSOR NAME                   : GRACE B                                         
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 116769540.000000 (2003-09-13 23:59:00.00)       
TIME LAST OBS(SEC PAST EPOCH) : 116773080.000000 (2003-09-14 00:58:00.00)       
NUMBER OF DATA RECORDS        : 60                                              
PRODUCT CREATE START TIME(UTC): 2003-10-01 01:54:55 by l0tol1                   
PRODUCT CREATE END TIME(UTC)  : 2003-10-01 01:54:55 by l0tol1                   
FILESIZE (BYTES)              : 14451                                           
FILENAME                      : newasc/GNV1B_2003-09-14_B_00.asc                
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : GNI1A<-GNI1A_2003-09-13_B_00.dat                
INPUT FILE TIME TAG (UTC)     : GNI1A<-2003-09-22 07:12:53 by l0tol1            
INPUT FILE NAME               : GNI1A<-GNI1A_2003-09-14_B_00.dat                
INPUT FILE TIME TAG (UTC)     : GNI1A<-2003-10-01 01:37:55 by l0tol1            
INPUT FILE NAME               : GNI1A<-GNI1A_2003-09-15_B_00.dat                
INPUT FILE TIME TAG (UTC)     : GNI1A<-2003-10-01 01:52:31 by l0tol1            
INPUT FILE NAME               : A2B<-GNV1B_2003-09-14_B_00.asc                  
INPUT FILE TIME TAG (UTC)     : A2B<-2004-01-10 18:39:25 by glk                 
INPUT FILE SOFTWARE VERSION   : A2B<-@(#) Ascii2BinLevel1.c       1.8 01/10/04  
116770620 B E 1834990.218888573 -6544423.450665718 832635.8016685621 0.01576325885276046 0.01300163085960268 0.1255518174012645 -600.67975 801.5285211142701 7579.93208 1.15176566474999e-05 1.265514738150551e-05 0.003393767323712676  00000000
116770680 B E 1795142.589 -6481623.640713525 1285223.75066844 0.01594177726136582 0.01334169920262865 0.1262607510723971 -726.3666800000001 1291.20228 7500.690879999999 1.188893457438645e-05 1.295960141743245e-05 0.003448033435798796  00000000
116770740 B E 1747976.393 -6389573.456677342 1732045.807483988 0.01611156217255684 0.0137322759591094 0.1269313285700454 -844.5468999999999 1776.162760806647 7387.80977 1.272768964607442e-05 1.361771486597096e-05 0.00356758877199635  00000000
116770800 B E 1693956.811 -6268623.544665064 2171098.430468911 0.01627454224592058 0.01416811041425417 0.1275717141294283 -954.7367399999999 2254.152230669873 7241.8092 1.398565373908161e-05 1.469859163883998e-05 0.003739739795638409  00000000
116770860 B E 1633576.394945503 -6119259.239727517 2600413.921381477 0.01643768741734318 0.01464337285120572 0.1282095449541226 -1056.5083 2722.940630544967 7063.364189455032 1.318471539940479e-05 1.426519056031597e-05 0.003631076341720839  00000000
116770920 B E 1567351.613 -5942098.450740635 3018069.691302591 0.0165970649095789 0.01513740533801411 0.1288295964038501 -1149.4922 3180.341580432273 6853.30191 1.275855323107812e-05 1.428147232056288e-05 0.003571911705386644  00000000
116770980 B E 1495819.32396679 -5737888.679800741 3422197.157199259 0.0167439048040261 0.01563425723063301 0.1293982411164313 -1233.37876 3624.223120332098 6612.594539667903 1.279925165115509e-05 1.496589391607119e-05 0.00357760417754048  00000000
116771040 B E 1419533.114 -5507503.459828698 3810990.279146831 0.0168789965982279 0.01612416741608462 0.1299191925707203 -1307.91998 4052.517920244717 6342.353689755283 1.335015365653965e-05 1.648225596005859e-05 0.003653786208378872  00000000
116771100 B E 1339059.625 -5251938.177863704 4182713.733102222 0.01700236308223079 0.01660693714500792 0.1303931097958431 -1372.9285 4463.232910170372 6043.82374 1.439315539025946e-05 1.881690669895537e-05 0.003793831228489145  00000000
116771160 B E 1254974.933989074 -4972305.38791259 4535710.698065558 0.01711813503966669 0.01707948357586769 0.13083629098865 -1428.27732 4854.457000109262 5718.37632 1.321505318213381e-05 1.731982135766061e-05 0.003635251460646679  00000000
116771220 B E 1167860.893993844 -4669829.601950753 4868410.330030779 0.01721774192395689 0.01751389379322914 0.1312163935030867 -1473.90108 5224.371170061559 5367.504529938442 1.251282487022109e-05 1.667705391345493e-05 0.003537347151499424  00000000
