PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipCLK1BF            : 17                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 35                                              
SOFTWARE VERSION              : @(#) tdp2clk1b.c       1.28 05/31/03            
SOFTWARE LINK TIME            : @(#) 2003-09-11 14:16:02 glk  j2                
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE A                                         
SENSOR NAME                   : IPU 1                                           
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 116769300.000000 (2003-09-13 23:55:00.00)       
TIME LAST OBS(SEC PAST EPOCH) : 116786700.000000 (2003-09-14 04:45:00.00)       
NUMBER OF DATA RECORDS        : 60                                              
PRODUCT CREATE START TIME(UTC): 2003-10-01 01:48:07 by l0tol1                   
PRODUCT CREATE END TIME(UTC)  : 2003-10-01 01:48:07 by l0tol1                   
FILESIZE (BYTES)              : 9621                                            
FILENAME                      : newasc/CLK1B_2003-09-14_A_00.asc                
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : TDP1A<-TDP1A_2003-09-13_A_00.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : TDP1A<-TDP1A_2003-09-14_A_00.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : TDP1A<-TDP1A_2003-09-15_A_00.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : CLK1A<-CLK1A_2003-09-13_A_00.dat                
INPUT FILE TIME TAG (UTC)     : CLK1A<-2003-09-15 05:36:15 by l0tol1            
INPUT FILE NAME               : CLK1A<-CLK1A_2003-09-14_A_00.dat                
116779200 A 3 -0.07793158694789075 1.45133737820716e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116779500 A 3 -0.07800774803096609 1.446667480874386e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116779800 A 3 -0.07808390929250426 1.43866194258963e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116780100 A 3 -0.07816007060033164 1.436326993923243e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116780400 A 3 -0.07823623167397761 1.429322147924082e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116780700 A 3 -0.07831239252377191 1.421983737829722e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116781000 A 3 -0.07838855342077111 1.417980968687344e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116781300 A 3 -0.07846471423881177 1.405639097165013e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116781600 A 3 -0.07854087490828918 1.401969892117833e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116781900 A 3 -0.07861703579848334 1.400302071641842e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116782200 A 3 -0.07869319687240789 1.410642558592985e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116782500 A 3 -0.07876935831830034 1.413644635449768e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116782800 A 3 -0.07884552014535434 1.421983737829722e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116783100 A 3 -0.07892168226260959 1.435326301637648e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116783400 A 3 -0.07899784451773822 1.442998275827206e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116783700 A 3 -0.07907400671817146 1.449335993635971e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116784000 A 3 -0.07915016876198759 1.462344993348699e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116784300 A 3 -0.07922633069761914 1.463345685634293e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116784600 A 3 -0.07930249207405538 1.464346377919888e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116784900 A 3 -0.07937865319392944 1.466681326586275e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116785200 A 3 -0.07945481449037706 1.465347070205482e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116785500 A 3 -0.07953097576902168 1.459676480587113e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116785800 A 3 -0.07960713662184192 1.459342916491915e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116786100 A 3 -0.07968329737596902 1.4620114292535e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116786400 A 3 -0.0797594578071807 1.460010044682312e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
116786700 A 3 -0.07983561821772825 1.462678557443897e-10 -2.538676319877871e-07 2.633523415631979e-11  00000000
