PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipGNV1BF            : 5                                               
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 29                                              
SOFTWARE VERSION              : @(#) gni1a2gnv1b.c       1.6 05/06/03           
SOFTWARE LINK TIME            : @(#) 2003-09-11 14:15:47 glk  j2                
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE A                                         
SENSOR NAME                   : GRACE A                                         
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 116769540.000000 (2003-09-13 23:59:00.00)       
TIME LAST OBS(SEC PAST EPOCH) : 116773080.000000 (2003-09-14 00:58:00.00)       
NUMBER OF DATA RECORDS        : 60                                              
PRODUCT CREATE START TIME(UTC): 2003-10-01 01:47:46 by l0tol1                   
PRODUCT CREATE END TIME(UTC)  : 2003-10-01 01:47:46 by l0tol1                   
FILESIZE (BYTES)              : 14583                                           
FILENAME                      : newasc/GNV1B_2003-09-14_A_00.asc                
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : GNI1A<-GNI1A_2003-09-13_A_00.dat                
INPUT FILE TIME TAG (UTC)     : GNI1A<-2003-09-22 07:06:26 by l0tol1            
INPUT FILE NAME               : GNI1A<-GNI1A_2003-09-14_A_00.dat                
INPUT FILE TIME TAG (UTC)     : GNI1A<-2003-10-01 01:30:39 by l0tol1            
INPUT FILE NAME               : GNI1A<-GNI1A_2003-09-15_A_00.dat                
INPUT FILE TIME TAG (UTC)     : GNI1A<-2003-10-01 01:45:47 by l0tol1            
INPUT FILE NAME               : A2B<-GNV1B_2003-09-14_A_00.asc                  
INPUT FILE TIME TAG (UTC)     : A2B<-2004-01-10 18:39:25 by glk                 
INPUT FILE SOFTWARE VERSION   : A2B<-@(#) Ascii2BinLevel1.c       1.8 01/10/04  
116770620 A E 1830474.255774303 -6515218.187554292 1049249.669334281 0.01362226201858296 0.01135555469482605 0.1167144464862125 -663.66137 1033.92726111427 7545.4314 9.916338988833033e-06 1.115789171248485e-05 0.003149021909868687  00000000
116770680 A E 1786922.974949593 -6438539.219618034 1499284.311381966 0.013808777309325 0.01162550117928824 0.1175107540156432 -786.7971700000001 1521.264160954915 7450.11632 1.001733982523319e-05 1.150331234643681e-05 0.003165018139795283  00000000
116770740 A E 1736213.710112688 -6332781.979596676 1942595.653241994 0.01398932668266254 0.01193113022782465 0.1182764840645111 -902.1793 2002.827180806647 7321.40745 1.064426178323793e-05 1.227868212147312e-05 0.003262554487397556  00000000
116770800 A E 1678825.81026314 -6198360.312665064 2377197.084200962 0.01416781845433487 0.0122715558878299 0.119028645520038 -1009.34607 2476.373510669873 7159.89774 1.177071073286168e-05 1.354808777247791e-05 0.003430846941042646  00000000
116770860 A E 1615264.614400536 -6035821.688673019 2801142.226217987 0.01434672025944861 0.01264283876053974 0.1197777953522631 -1107.8934 2939.694930544968 6966.33505 1.073346889494312e-05 1.296797103742262e-05 0.003276197322345393  00000000
116770920 A E 1546057.9445245 -5845844.633740636 3212534.050129682 0.01452016006445411 0.01302537206259867 0.1204996268228832 -1197.47593 3390.632600432273 6741.61507 1.010705124313419e-05 1.290266920356727e-05 0.003179158889255802  00000000
116770980 A E 1471752.528634693 -5629235.496767531 3609533.559132839 0.01468021959430197 0.01340534944299372 0.1211619560518151 -1277.80942 3827.08648 6486.7758 1.004335110779957e-05 1.358286016667912e-05 0.003169124659554997  00000000
116771040 A E 1392910.296730811 -5386924.601828698 3990368.158097887 0.01482469854237686 0.01377528044458968 0.1217567186744816 -1348.67103 4247.025620244717 6202.99139 1.061847028566673e-05 1.515531426920709e-05 0.003258599436209785  00000000
116771100 A E 1310104.738812592 -5119961.837863704 4353339.614051111 0.01495446633070035 0.01414029320130746 0.1222884554269141 -1409.89823 4648.496770170372 5891.56552 1.177839806250905e-05 1.758811082643942e-05 0.00343196708354102  00000000
116771160 A E 1223917.274879812 -4829511.755912591 4696831.683032779 0.0150735650468055 0.01450377244923945 0.1227744478578727 -1461.389459890738 5029.632750109262 5553.92663 1.058408431677996e-05 1.576691385129697e-05 0.003253318969418763  00000000
116771220 A E 1134933.557932286 -4516848.090950754 5019317.397018467 0.0151733567735337 0.01483543108495895 0.1231801801165013 -1503.105199938442 5388.663030061558 5191.62064 9.926828295676062e-06 1.484835369280254e-05 0.003150686956153541  00000000
116771280 A E 1043739.788972609 -4183347.662975348 5319365.833008217 0.01524718932598704 0.01511455143918957 0.1234795097414427 -1535.06615 5723.92349002739 4806.301539972609 9.95771325169664e-06 1.530801985755476e-05 0.003155584454850898  00000000
116771340 A E 950919.1789931477 -3830483.751993833 5595648.306002055 0.01529351737015813 0.01533348990719193 0.1236669615142142 -1557.351229993148 6033.863850006853 4399.721579999999 1.069267205408457e-05 1.729814303532712e-05 0.003269965145698738  00000000
116771400 A E 857048.472 -3459819.102 5846943.970000001 0.015318 0.015506 0.1237659080684176 -1570.09675 6317.05316 3973.7216 1.2e-05 2.055e-05 0.003464101615137755  00000000
116771460 A E 762694.574 -3072998.625 6072144.858 0.015335 0.015676 0.012144 -1573.4939 6572.18399 3530.22204 1.069e-05 1.79e-05 1.46e-05  00000000
116771520 A E 668411.331 -2671741.861 6270260.448 0.015347 0.015842 0.011864 -1567.7865 6798.07743 3071.2161 9.975999999999999e-06 1.652e-05 1.362e-05  00000000
116771580 A E 574736.4280000001 -2257835.044 6440421.719 0.015348 0.015984 0.011594 -1553.26902 6993.689759999999 2598.75829 9.992e-06 1.691e-05 1.332e-05  00000000
116771640 A E 482188.445 -1833122.975 6581884.500999999 0.015339 0.016099 0.011342 -1530.2832 7158.112349999999 2114.95508 1.073e-05 1.912e-05 1.356e-05  00000000
116771700 A E 391264.125 -1399500.844 6694032.507 0.015325 0.01621 0.011121 -1499.21478 7290.57579 1621.96197 1.203e-05 2.268e-05 1.416e-05  00000000
116771760 A E 302435.803 -958905.585 6776379.962 0.015315 0.016355 0.010948 -1460.4911 7390.45876 1121.97073 1.062e-05 1.913e-05 1.347e-05  00000000
116771820 A E 216149.022 -513307.001 6828573.3 0.015303 0.016512 0.010829 -1414.57705 7457.2861 617.19542 9.822999999999999e-06 1.682e-05 1.318e-05  00000000
116771880 A E 132820.41 -64699.035 6850392.369999999 0.015284 0.01665 0.010762 -1361.97135 7490.729319999999 109.86819 9.797e-06 1.64e-05 1.324e-05  00000000
116771940 A E 52835.708 384909.168 6841751.234 0.015259 0.016764 0.01075 -1303.20415 7490.610000000001 -397.77154 1.053e-05 1.806e-05 1.362e-05  00000000
116772000 A E -23452 833502.228 6802698.279999999 0.015232 0.016873 0.010797 -1238.83327 7456.89876 -903.4868299999999 1.185e-05 2.129e-05 1.431e-05  00000000
116772060 A E -95723.82299999999 1279067.486 6733415.844000001 0.015214 0.016984 0.010905 -1169.43988 7389.71578 -1405.05129 1.046e-05 1.739e-05 1.411e-05  00000000
116772120 A E -163696.328 1719603.982 6634219.279 0.015202 0.017056 0.011065 -1095.62401 7289.33063 -1900.25908 9.701000000000001e-06 1.493e-05 1.421e-05  00000000
116772180 A E -227122.555 2153131.351 6505555.429 0.015189 0.017067 0.01127 -1018.001 7156.15972 -2386.93434 9.721999999999999e-06 1.461e-05 1.471e-05  00000000
116772240 A E -285792.853 2577698.556 6348000.621 0.015178 0.017016 0.011517 -937.19836 6990.764020000001 -2862.93788 1.049e-05 1.644e-05 1.57e-05  00000000
116772300 A E -339535.474 2991392.565 6162258.257 0.015172 0.016926 0.011809 -853.85149 6793.849670000001 -3326.17468 1.184e-05 1.968e-05 1.725e-05  00000000
116772360 A E -388216.947 3392347.034 5949155.813999999 0.015182 0.016811 0.012145 -768.6002 6566.26575 -3774.60581 1.059e-05 1.632e-05 1.639e-05  00000000
116772420 A E -431742.216 3778750.711 5709641.217 0.015201 0.016642 0.012505 -682.0844499999999 6308.999049999999 -4206.25646 9.945e-06 1.443e-05 1.622e-05  00000000
116772480 A E -470054.513 4148855.586 5444778.751 0.015225 0.016407 0.012873 -594.93984 6023.16989 -4619.223950000001 1e-05 1.437e-05 1.698e-05  00000000
116772540 A E -503134.988 4500984.776000001 5155744.576 0.015254 0.016112 0.013249 -507.79423 5710.02895 -5011.68277 1.074e-05 1.592e-05 1.877e-05  00000000
116772600 A E -531002.149 4833540.33 4843821.799000001 0.015294 0.01578 0.013647 -421.26432 5370.95552 -5381.89573 1.2e-05 1.844e-05 2.15e-05  00000000
116772660 A E -553711.064 5145010.722 4510394.848 0.015348 0.015437 0.014075 -335.95138 5007.44989 -5728.22432 1.088e-05 1.593e-05 1.957e-05  00000000
116772720 A E -571352.303 5433977.807999999 4156943.28 0.015407 0.015075 0.014494 -252.43686 4621.12226 -6049.13628 1.035e-05 1.449e-05 1.871e-05  00000000
116772780 A E -584050.657 5699123.166999999 3785035.439 0.015468 0.014687 0.014884 -171.27981 4213.68679 -6343.20476 1.05e-05 1.418e-05 1.929e-05  00000000
116772840 A E -591963.7609999999 5939234.361 3396321.931 0.015531 0.014282 0.015245 -93.01561 3786.96153 -6609.11633 1.129e-05 1.482e-05 2.138e-05  00000000
116772900 A E -595280.574 6153211.02 2992528.465 0.015601 0.013875 0.0156 -18.1522 3342.86255 -6845.68333 1.259e-05 1.606e-05 2.471e-05  00000000
116772960 A E -594219.5719999999 6340070.308999999 2575447.913 0.015681 0.013493 0.015959 52.83537 2883.38789 -7051.85545 1.16e-05 1.469e-05 2.17e-05  00000000
116773020 A E -589026.654 6498951.356 2146932.147 0.015761 0.013138 0.016274 119.50819 2410.60494 -7226.71541 1.114e-05 1.397e-05 2.003e-05  00000000
116773080 A E -579972.955 6629119.38 1708883.971 0.015837 0.012816 0.016518 181.46435 1926.64763 -7369.484759999999 1.127e-05 1.382e-05 2.024e-05  00000000
