116769619 A 1.213111902249883e-06 -2.851241726222292e-05 5.291428197043616e-07 0.0003320441634212992 -3.948920164309052e-05 -0.0002914471148070515 1.493171139988934e-09 2.382282471799117e-09 -2.029150542944902e-08  00100000
116769620 A 1.213214931373036e-06 -2.851247296932269e-05 5.290713318219948e-07 0.0003317346343398553 -3.893806701280767e-05 -0.0002915182516814108 -7.388164782085822e-10 -2.633946066683395e-09 -3.088953452330917e-09  00100000
116769621 A 1.213313563737318e-06 -2.851253452373898e-05 5.290234037834773e-07 0.0003321477452827996 -3.946364214601052e-05 -0.0002914585749612086 -3.121185119136138e-10 -1.854292953996835e-09 -2.742851384945666e-10  00100000
116769622 A 1.213406359121661e-06 -2.851259903480982e-05 5.289994613191581e-07 0.000331976759272399 -3.935808019849569e-05 -0.0002914804186500939 8.515684082547318e-09 -3.478048811277187e-09 1.933619143408169e-08  00100000
116769623 A 1.213492070717754e-06 -2.851266322392999e-05 5.289984753763397e-07 0.0003322409353808596 -3.948916782385617e-05 -0.0002914895577819766 1.359290430712679e-09 -2.520483343667793e-09 -1.460880803307665e-08  00100000
116769624 A 1.213569694646607e-06 -2.851272365486351e-05 5.29018125503321e-07 0.0003326696482693175 -3.958888323041445e-05 -0.00029156240971728 -2.426846629466168e-08 1.675478868718713e-08 3.989702393224416e-07  00100000
116769625 A 1.213638505429485e-06 -2.85127769710129e-05 5.290550508781363e-07 0.0003330143976285715 -3.936525026137929e-05 -0.0002915731235991749 -5.303708746516056e-10 2.876015839523504e-09 -2.680071052131313e-08  00100000
116769626 A 1.213698078867669e-06 -2.851282012044707e-05 5.291051630265442e-07 0.0003315949453646834 -3.891610232668532e-05 -0.0002915652682753348 1.039146687829958e-08 -1.401545814928379e-09 3.526218054196962e-08  00100000
116769627 A 1.213748304198421e-06 -2.851285055151176e-05 5.291639903584479e-07 0.0003300984215357013 -3.884422819522975e-05 -0.0002913704982596255 4.476299326228829e-09 -1.724104313160471e-10 -1.944446699734257e-08  00100000
116769628 A 1.21378938746259e-06 -2.851286636521832e-05 5.292270237054506e-07 0.0003319695449092631 -3.942644235910639e-05 -0.0002913679354031253 7.174156802352348e-10 9.152813236158383e-10 1.544304695749946e-08  00100000
116769629 A 1.213821847813543e-06 -2.851286641502042e-05 5.292900337353362e-07 0.000331943424956526 -3.941837221278813e-05 -0.0002914374710113568 -3.035597703208734e-09 4.684527656968518e-09 3.624861429545899e-09  00100000
116769630 A 1.213846507889181e-06 -2.851285034966402e-05 5.293493352594046e-07 0.0003318931436083374 -3.940511799651299e-05 -0.0002914409473418052 -2.008161666123441e-09 -1.014750373430574e-09 -2.50649037985935e-09  00100000
116769631 A 1.213864478482048e-06 -2.851281860004416e-05 5.294019798206999e-07 0.0003303215057905905 -3.897971203319544e-05 -0.0002914498622840755 -9.947299404476711e-10 4.14940052007753e-09 1.550645684226989e-10  00100000
116769632 A 1.213877136933414e-06 -2.851277231577648e-05 5.294458655971753e-07 0.000329027525041309 -3.853782007167342e-05 -0.0002913581624871714 -1.299520556379995e-09 -4.192672911881357e-09 -4.074672049326239e-09  00000000
116769633 A 1.213886098100431e-06 -2.851271326107614e-05 5.294797621769879e-07 0.0003322970727033556 -3.953203044669891e-05 -0.000291490680106207 1.880477797336834e-09 -6.528249505098605e-09 9.450251873563004e-10  00000000
116769634 A 1.213893176335047e-06 -2.851264368222066e-05 5.295032562692983e-07 0.0003343139575000205 -3.979772657413178e-05 -0.0002916854277804116 -1.298071390298788e-09 5.424221567034842e-09 -2.59912814396916e-08  00000000
116769635 A 1.21390033676779e-06 -2.851256616011773e-05 5.295166318110731e-07 0.0003352994664484955 -4.00355830573255e-05 -0.0002917820814134391 -5.374568997056513e-10 -3.272548392688267e-09 1.37970284931735e-09  00000000
116769636 A 1.213909634601355e-06 -2.851248346118605e-05 5.295207036504556e-07 0.0003355495545356951 -4.012937986434257e-05 -0.0002917639821987192 3.941421101644259e-10 -1.539569681576679e-09 2.63906410933514e-09  00000000
116769637 A 1.213923142203614e-06 -2.851239839811235e-05 5.295166281967311e-07 0.0003339257189703455 -3.985898935449847e-05 -0.0002915858638453807 4.255226003065101e-10 -4.185402572989079e-09 -2.061352001037126e-09  00000000
116769638 A 1.213942865343351e-06 -2.851231370900695e-05 5.295057142095037e-07 0.0003320713585191523 -3.947245385254068e-05 -0.0002915245176683449 1.689784592666963e-10 -2.540493725823178e-09 -1.303720825445505e-09  00000000
116769639 A 1.213970651523014e-06 -2.851223195971277e-05 5.294892533272886e-07 0.0003314938298369839 -3.932015111493666e-05 -0.0002914339093991303 -4.230739754230019e-10 -1.509870147081683e-09 1.67720509056447e-10  00000000
116769640 A 1.214008094806094e-06 -2.851215547046709e-05 5.294683858467468e-07 0.0003316731075338951 -3.937078036784402e-05 -0.0002914833864888751 6.128309279514776e-08 -1.751066039979994e-08 1.144305968013125e-07  00000000
116769641 A 1.214056443027028e-06 -2.851208626517411e-05 5.294440122134155e-07 0.0003303758746646857 -3.905610919905787e-05 -0.0002913324971427556 1.354120441757446e-09 9.142499188094413e-10 2.008374561695279e-08  00000000
116769642 A 1.214116514560721e-06 -2.851202603933639e-05 5.294167551163774e-07 0.0003310496973773123 -3.912858348551558e-05 -0.0002914190163604559 -3.871468839852632e-08 -6.407558016516453e-09 3.675891513424726e-08  00000000
116769643 A 1.214188632143848e-06 -2.851197614147355e-05 5.293869714838815e-07 0.0003307161291980788 -3.905711799158223e-05 -0.0002913459195122379 2.855652196373648e-09 6.561040764742202e-10 -1.286667287758451e-08  00000000
116769644 A 1.214272580542045e-06 -2.85119375627204e-05 5.293548083425182e-07 0.0003315341529153508 -3.925844799810118e-05 -0.0002914553497842574 5.703544626841382e-09 -4.695690517826358e-09 8.678897686803978e-09  00000000
116769645 A 1.214367593544947e-06 -2.851191093005013e-05 5.293202917993432e-07 0.0003300867819028429 -3.872379455511638e-05 -0.0002914431298880718 4.92820268953328e-09 -5.225789601876862e-09 -3.074483286102845e-10  00000000
116769646 A 1.214472373913224e-06 -2.851189650008002e-05 5.292834349896059e-07 0.0003304657534352387 -3.901588134281136e-05 -0.0002913739479746458 -1.351942976897317e-08 4.750859775670506e-10 -1.232708311324466e-09  00000000
116769647 A 1.214585147608258e-06 -2.851189415239379e-05 5.292443490878933e-07 0.0003318123627000102 -3.936288690217543e-05 -0.0002914958196451658 -9.516811036065572e-10 -5.157817342874011e-09 -6.567263062662236e-09  00000000
116769648 A 1.214703750994015e-06 -2.85119033834657e-05 5.292033413772309e-07 0.0003311994191219508 -3.900874280752955e-05 -0.0002914489228167935 7.967058440905537e-09 -4.029984063089355e-09 3.250527973827465e-09  00000000
116769649 A 1.214825746893291e-06 -2.851192330420216e-05 5.291609858415645e-07 0.0003323522051561498 -3.950069736940252e-05 -0.0002916155447398194 3.485252625953643e-08 3.280532274862758e-09 -2.091423034057198e-08  00000000
116769650 A 1.214948562723431e-06 -2.851195264551912e-05 5.291181550303082e-07 0.0003331833407789013 -3.954839293506345e-05 -0.0002916539387337934 -4.602727423844031e-09 -2.93205818498399e-09 6.713111572915398e-10  00000000
116769651 A 1.215069641722746e-06 -2.851198977698601e-05 5.290760065438597e-07 0.0003326412258320247 -3.964353356572315e-05 -0.0002915342723699398 2.891344302405108e-09 2.724755460552252e-09 -2.799732580873046e-09  00000000
116769652 A 1.21518659674063e-06 -2.851203274325958e-05 5.29035922883435e-07 0.0003342772481045518 -4.019392925151642e-05 -0.0002916309346691827 1.142860822098541e-09 -3.433840214034828e-09 4.725596285627797e-09  00000000
116769653 A 1.21529735537032e-06 -2.851207932185919e-05 5.289994091607039e-07 0.0003318144298660998 -3.939359431829107e-05 -0.0002915105530651958 -8.164005290883778e-10 2.354413100962818e-09 3.280405726524617e-09  00000000
116769654 A 1.215400285412186e-06 -2.851212710388144e-05 5.289679584477509e-07 0.0003299116183555969 -3.867462746020473e-05 -0.0002913501158257075 -5.049776515576134e-09 -4.129343925281768e-09 -5.999816730318155e-10  00000000
116769655 A 1.21549429069924e-06 -2.851217359663376e-05 5.289428987299896e-07 0.0003307916213189927 -3.893744478479112e-05 -0.0002914701834968552 -1.15930090399723e-09 -6.010303036987625e-10 -1.35503811330014e-09  00000000
116769656 A 1.215578869322708e-06 -2.851221634425046e-05 5.289252380978207e-07 0.0003321936405801178 -3.950564173838979e-05 -0.000291599003573345 -2.966063544676111e-10 2.634809366597196e-08 -1.717745403053445e-09  00000000
116769657 A 1.21565412929775e-06 -2.851225305943126e-05 5.28915525413168e-07 0.0003326271693211374 -3.960781859162493e-05 -0.0002915866901310111 1.168745160632708e-09 1.668620772391145e-10 -4.746052968765146e-09  00000000
116769658 A 1.215720760269694e-06 -2.851228175701645e-05 5.289137422241716e-07 0.0003323442304065993 -3.948463194148437e-05 -0.00029154970349473 9.079668429682013e-11 9.439005683598153e-10 -7.982293620060942e-11  00000000
116769659 A 1.215779963699485e-06 -2.851230087871499e-05 5.289192392699173e-07 0.0003331588744061114 -3.947957708695162e-05 -0.0002916556003017568 -4.028660827462754e-10 1.166136197178327e-09 1.728885676053505e-09  00000000
