PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipMAG1XF            : 15                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 29                                              
SOFTWARE VERSION              : @(#) TimeCorrHK.c       1.22 08/18/03           
SOFTWARE LINK TIME            : @(#) 2003-09-17 12:35:00 glk  j2                
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE B                                         
SENSOR NAME                   : Nodef                                           
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 116769606.997053 (2003-09-14 00:00:07.00)       
TIME LAST OBS(SEC PAST EPOCH) : 116770176.997034 (2003-09-14 00:09:37.00)       
NUMBER OF DATA RECORDS        : 58                                              
PRODUCT CREATE START TIME(UTC): 2003-10-01 01:53:58 by l0tol1                   
PRODUCT CREATE END TIME(UTC)  : 2003-10-01 01:53:59 by l0tol1                   
FILESIZE (BYTES)              : 10496                                           
FILENAME                      : newasc/MAG1B_2003-09-14_B_00.asc                
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : MAG1A<-MAG1A_2003-09-14_B_00.dat                
INPUT FILE TIME TAG (UTC)     : MAG1A<-2003-09-15 17:31:03 by l0tol1            
INPUT FILE NAME               : CLK1B<-CLK1B_2003-09-14_B_00.dat                
INPUT FILE TIME TAG (UTC)     : CLK1B<-2003-10-01 01:52:48 by l0tol1            
INPUT FILE NAME               : TIM1B<-TIM1B_2003-09-14_B_00.dat                
INPUT FILE TIME TAG (UTC)     : TIM1B<-2003-09-15 17:32:32 by l0tol1            
INPUT FILE NAME               : A2B<-MAG1B_2003-09-14_B_00.asc                  
INPUT FILE TIME TAG (UTC)     : A2B<-2004-01-10 18:39:25 by glk                 
INPUT FILE SOFTWARE VERSION   : A2B<-@(#) Ascii2BinLevel1.c       1.8 01/10/04  
116769906 997043 B G 17.51254653930664 -0.6893409490585327 -16.873046875 0.849609375 0 2.34375 5.009765625 12.01171875 0 54 54 53 120  00000000
116769916 997043 B G 17.60021209716797 -0.875684380531311 -16.48486328125 0 0 0 2.40234375 8.935546875 0 54 54 53 120  00000000
116769926 997043 B G 17.81058120727539 -1.235617756843567 -15.9931640625 3.45703125 0.41015625 0 0 1.875 6.6796875 54 54 53 120  00000000
116769936 997042 B G 18.05599021911621 -1.582797646522522 -15.4755859375 10.341796875 3.837890625 0 0 0 14.619140625 54 54 53 120  00000000
116769946 997042 B G 17.9460391998291 -1.444247722625732 -15.39794921875 3.955078125 4.365234375 0 0 0 8.232421875 54 54 53 120  00000000
116769956 997042 B G 17.95879173278809 -1.47928786277771 -15.19091796875 1.435546875 12.275390625 0.673828125 0.17578125 0.1171875 6.240234375 54 54 53 120  00000000
116769966 997041 B G 18.0065860748291 -1.501574277877808 -14.93212890625 0.41015625 8.291015625 0 0.41015625 0 4.775390625 54 54 53 120  00000000
116769976 997041 B G 17.83608818054199 -1.305697917938232 -14.93212890625 0 16.728515625 3.3984375 7.5 0 0 54 54 53 120  00000000
116769986 997041 B G 17.44407653808594 -0.7737848162651062 -15.216796875 0 15.732421875 22.763671875 24.580078125 0 0 54 54 53 120  00000000
116769996 997040 B G 17.57792472839355 -0.9234779477119446 -14.82861328125 0 11.806640625 21.2109375 22.03125 0 0 54 54 53 120  00000000
116770006 997040 B G 17.42488288879395 -0.5029974579811096 -14.802734375 0 0 33.603515625 31.845703125 14.560546875 0 54 54 53 120  00000000
116770016 997040 B G 17.52046966552734 -0.5475704669952393 -14.4921875 0 0 34.130859375 31.259765625 20.0390625 0 54 54 53 120  00000000
116770026 997039 B G 17.75151443481445 -0.8007735013961792 -13.974609375 0 0 29.1796875 25.693359375 28.095703125 0 54 54 53 120  00000000
116770036 997039 B G 18.0335750579834 -1.194136619567871 -13.4052734375 0 0 20.80078125 17.9296875 18.57421875 0 54 54 53 120  00000000
116770046 997039 B G 18.16742134094238 -1.343829751014709 -13.06884765625 0 0 18.80859375 16.435546875 15.556640625 0 54 54 53 120  00000000
116770056 997038 B G 18.43511772155762 -1.643216133117676 -12.55126953125 0.5859375 0 12.3046875 10.60546875 12.568359375 0 54 54 53 120  00000000
116770066 997038 B G 18.50841903686523 -1.735582709312439 -12.2666015625 0 0 12.333984375 11.25 3.92578125 0 54 54 53 120  00000000
116770076 997038 B G 19.01830291748047 -2.264275074005127 -11.56787109375 0 1.904296875 0 0 0 5.33203125 54 54 53 120  00000000
116770086 997037 B G 19.17443656921387 -2.366174697875977 -11.20556640625 0.9375 3.33984375 0 0 0 7.79296875 54 54 53 120  00000000
116770096 997037 B G 19.33057022094727 -2.468074321746826 -10.869140625 1.40625 4.833984375 0 0.234375 0 9.755859375 54 54 53 120  00000000
116770106 997037 B G 19.47556114196777 -2.593870639801025 -10.5068359375 1.845703125 9.287109375 0 0.64453125 0 11.19140625 54 54 53 120  00000000
116770116 997036 B G 19.42615699768066 -2.512647390365601 -10.27392578125 0.556640625 7.8515625 0.41015625 1.40625 0 4.27734375 54 54 53 120  00000000
116770126 997036 B G 19.87066459655762 -2.807202816009521 -9.70458984375 5.0390625 3.75 0 0 0 18.193359375 54 54 53 120  00000000
116770136 997036 B G 20.12238502502441 -2.953675508499146 -9.29052734375 7.08984375 2.34375 0 0 0 23.02734375 54 54 53 120  00000000
116770146 997035 B G 20.0729808807373 -2.872452020645142 -9.0576171875 3.45703125 0 0 0.3515625 0.791015625 15.615234375 54 54 53 120  00000000
116770156 997035 B G 19.84354591369629 -2.678185939788818 -8.87646484375 0.17578125 0 0 2.98828125 6.943359375 0.64453125 54 54 53 120  00000000
116770166 997035 B G 19.7718563079834 -2.644756078720093 -8.6435546875 0.76171875 0 6.796875 6.591796875 1.552734375 0.703125 54 54 53 120  00000000
116770176 997034 B G 19.74956893920898 -2.692549705505371 -8.41064453125 0 10.341796875 11.396484375 9.169921875 0 0 54 54 53 120  00000000
