PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipCLK1BF            : 17                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 35                                              
SOFTWARE VERSION              : @(#) tdp2clk1b.c       1.28 05/31/03            
SOFTWARE LINK TIME            : @(#) 2003-09-11 14:16:02 glk  j2                
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE B                                         
SENSOR NAME                   : IPU 1                                           
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 116769300.000000 (2003-09-13 23:55:00.00)       
TIME LAST OBS(SEC PAST EPOCH) : 116786700.000000 (2003-09-14 04:45:00.00)       
NUMBER OF DATA RECORDS        : 60                                              
PRODUCT CREATE START TIME(UTC): 2003-10-01 01:52:48 by l0tol1                   
PRODUCT CREATE END TIME(UTC)  : 2003-10-01 01:52:48 by l0tol1                   
FILESIZE (BYTES)              : 9683                                            
FILENAME                      : newasc/CLK1B_2003-09-14_B_00.asc                
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : TDP1A<-TDP1A_2003-09-13_B_00.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : TDP1A<-TDP1A_2003-09-14_B_00.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : TDP1A<-TDP1A_2003-09-15_B_00.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : CLK1A<-CLK1A_2003-09-13_B_00.dat                
INPUT FILE TIME TAG (UTC)     : CLK1A<-2003-09-15 17:33:13 by l0tol1            
INPUT FILE NAME               : CLK1A<-CLK1A_2003-09-14_B_00.dat                
116779200 B 4 -0.003267786662914878 1.613449528473462e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116779500 B 4 -0.003277831916211728 1.60477686199831e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116779800 B 4 -0.003287877231828456 1.590433605904789e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116780100 B 4 -0.003297922447754618 1.581760939429637e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116780400 B 4 -0.00330796755308448 1.564415606479333e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116780700 B 4 -0.003318012254515245 1.548404529909822e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116781000 B 4 -0.003328056630356241 1.54506888895784e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116781300 B 4 -0.003338100726032977 1.53072563286432e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116781600 B 4 -0.00334814476407084 1.533727709721103e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116781900 B 4 -0.003358188915734984 1.533727709721103e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116782200 B 4 -0.003368233287853214 1.537063350673085e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116782500 B 4 -0.003378277944310318 1.551073042671407e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116782800 B 4 -0.003388323024449962 1.550739478576209e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116783100 B 4 -0.003398368455422819 1.565416298764928e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116783400 B 4 -0.003408414070212726 1.573755401144881e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116783700 B 4 -0.003418459880059076 1.579092426668052e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116784000 B 4 -0.003428505784152006 1.589766477714393e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116784300 B 4 -0.003438551539601035 1.589766477714393e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116784600 B 4 -0.003448597154281967 1.593769246856771e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116784900 B 4 -0.003458642591298021 1.59210142638078e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116785200 B 4 -0.003468688000860171 1.590433605904789e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116785500 B 4 -0.003478733404433044 1.585096580381618e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116785800 B 4 -0.00348877868991374 1.58676440085761e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116786100 B 4 -0.003498823708871389 1.593769246856771e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116786400 B 4 -0.003508868327265974 1.598439144189545e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
116786700 B 4 -0.003518912811063648 1.611781707997471e-10 -3.347989317790457e-08 2.625114488625548e-11  00000000
