PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipMAG1XF            : 15                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 29                                              
SOFTWARE VERSION              : @(#) TimeCorrHK.c       1.22 08/18/03           
SOFTWARE LINK TIME            : @(#) 2003-09-17 12:35:00 glk  j2                
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE A                                         
SENSOR NAME                   : Nodef                                           
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 116769604.924504 (2003-09-14 00:00:04.92)       
TIME LAST OBS(SEC PAST EPOCH) : 116770174.924360 (2003-09-14 00:09:34.92)       
NUMBER OF DATA RECORDS        : 58                                              
PRODUCT CREATE START TIME(UTC): 2003-10-01 01:49:51 by l0tol1                   
PRODUCT CREATE END TIME(UTC)  : 2003-10-01 01:49:51 by l0tol1                   
FILESIZE (BYTES)              : 10146                                           
FILENAME                      : newasc/MAG1B_2003-09-14_A_00.asc                
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : MAG1A<-MAG1A_2003-09-14_A_00.dat                
INPUT FILE TIME TAG (UTC)     : MAG1A<-2003-09-15 05:31:52 by l0tol1            
INPUT FILE NAME               : CLK1B<-CLK1B_2003-09-14_A_00.dat                
INPUT FILE TIME TAG (UTC)     : CLK1B<-2003-10-01 01:48:07 by l0tol1            
INPUT FILE NAME               : TIM1B<-TIM1B_2003-09-14_A_00.dat                
INPUT FILE TIME TAG (UTC)     : TIM1B<-2003-09-15 05:35:46 by l0tol1            
INPUT FILE NAME               : A2B<-MAG1B_2003-09-14_A_00.asc                  
INPUT FILE TIME TAG (UTC)     : A2B<-2004-01-10 18:39:25 by glk                 
INPUT FILE SOFTWARE VERSION   : A2B<-@(#) Ascii2BinLevel1.c       1.8 01/10/04  
116769914 924426 A G -16.97760772705078 -3.778586149215698 -15.39794921875 0 0 0 0 26.66015625 0.64453125 54 54 53 120  00000000
116769924 924423 A G -17.10823631286621 -3.746766805648804 -15.216796875 0 0 0 1.69921875 0 0 54 54 53 120  00000000
116769934 924421 A G -17.16717147827148 -3.748377084732056 -14.82861328125 0 0 0 0.205078125 0 0 54 54 53 120  00000000
116769944 924418 A G -17.04781723022461 -3.36763858795166 -14.46630859375 0.029296875 0 0 0 60.615234375 0.380859375 54 54 53 120  00000000
116769954 924415 A G -17.65934371948242 -3.867989540100098 -13.68994140625 11.689453125 0 22.412109375 0 42.626953125 0 54 54 53 120  00000000
116769964 924413 A G -17.64027786254883 -3.702322244644165 -13.58642578125 7.705078125 0 15.46875 0 25.13671875 0 54 54 53 120  00000000
116769974 924410 A G -17.53998756408691 -3.487251281738281 -13.53466796875 1.2890625 0 3.837890625 0.5859375 6.884765625 0 54 54 53 120  00000000
116769984 924408 A G -17.76298141479492 -3.528732538223267 -12.9912109375 6.73828125 0 14.4140625 0 23.349609375 0 54 54 53 120  00000000
116769994 924405 A G -18.07041931152344 -3.501743793487549 -12.44775390625 11.923828125 0 27.24609375 0 52.001953125 0 54 54 53 120  00000000
116770004 924403 A G -18.49399185180664 -3.973366975784302 -11.904296875 18.662109375 0 37.5 0 1.259765625 0 54 54 53 120  00000000
116770014 924400 A G -17.78539657592773 -3.140071392059326 -12.39599609375 0 0 0 0.234375 0.205078125 0 54 54 53 120  00000000
116770024 924398 A G -17.28543281555176 -2.442233800888062 -12.8876953125 0 23.02734375 0 19.072265625 0 31.611328125 54 54 53 120  00000000
116770034 924395 A G -17.90971183776855 -2.907544612884521 -11.904296875 1.201171875 7.119140625 0 3.251953125 0 4.306640625 54 54 53 120  00000000
116770044 924393 A G -17.90501022338867 -2.647900581359863 -11.67138671875 0 0 0 6.416015625 0.8203125 7.67578125 54 54 53 120  00000000
