116769618 B 5.472559243430388e-07 -9.383390946744292e-06 8.530439834394858e-07 -0.0004169616887565901 -7.635865729739887e-06 -0.0005840559862770477 1.707526369627078e-09 -8.300009390957289e-10 5.967005405263742e-09  01000000
116769619 B 5.471495247363778e-07 -9.383380770350913e-06 8.527633050263382e-07 -0.0004169988509067729 -7.589417765408239e-06 -0.0005841543869791118 5.997874573657025e-09 -5.352055011754509e-09 1.753787029194471e-09  01100000
116769620 B 5.470392350770167e-07 -9.383362861962902e-06 8.525311812300396e-07 -0.0004170853485201487 -7.534162166801229e-06 -0.0005840874149118054 3.490366464521383e-09 -1.645412482932551e-09 -5.159670530606315e-09  01100000
116769621 B 5.469259782172607e-07 -9.383337904623415e-06 8.523504071493858e-07 -0.0004170175617721772 -7.568473666347249e-06 -0.0005841048950233439 3.636607482615205e-10 -1.416033960790033e-10 1.433101697233694e-10  00100000
116769622 B 5.468106694163536e-07 -9.383306955296106e-06 8.52220994739989e-07 -0.0004169534230339302 -7.581634277946238e-06 -0.0005840968430506091 -3.346540945641753e-09 -2.516851349804077e-09 4.747614515261749e-09  00100000
116769623 B 5.466941483901386e-07 -9.383271408010036e-06 8.521404924926269e-07 -0.0004168551812148722 -7.584057695416024e-06 -0.0005841042135082739 -4.156958004374865e-08 3.185485107546924e-08 1.174289788221353e-07  00100000
116769624 B 5.465771286600527e-07 -9.383232935758557e-06 8.521044300546818e-07 -0.0004167679444377577 -7.571738312280288e-06 -0.0005840919097722513 4.056929666114679e-09 1.037107946371809e-09 9.953934333040209e-09  00100000
116769625 B 5.464601685767708e-07 -9.383193412490381e-06 8.521068395122168e-07 -0.000416776887618112 -7.584558355380962e-06 -0.0005841091024460818 8.230482705240813e-09 -5.963682048079917e-09 4.066038109541196e-09  00100000
116769626 B 5.463436658864674e-07 -9.383154817884602e-06 8.521408040044721e-07 -0.0004167439020382203 -7.571977805798637e-06 -0.0005841692111929118 4.385008194829795e-08 1.690637095773658e-08 3.22230825877413e-08  00100000
116769627 B 5.462278750203529e-07 -9.383119128936113e-06 8.521989884071251e-07 -0.000416771639214931 -7.549590940560356e-06 -0.0005841514350423732 -1.009068237072662e-08 -4.060759885816202e-10 1.27785609926508e-07  00100000
116769628 B 5.461129436741863e-07 -9.383088203768048e-06 8.522741146658252e-07 -0.0004168393997933684 -7.539976370895492e-06 -0.0005841175470709148 6.320350723489769e-09 -5.128596061287211e-09 2.594335183550606e-08  00100000
116769629 B 5.459989629663664e-07 -9.383063664410374e-06 8.523593541009755e-07 -0.0004168356861080064 -7.484270260300102e-06 -0.0005840951271694772 -2.470530009037959e-09 -2.547375960956324e-09 3.712788001545459e-08  00100000
116769630 B 5.458860239116365e-07 -9.383046786348797e-06 8.524486201548619e-07 -0.0004169228987989734 -7.429431562991515e-06 -0.0005840969916848913 -2.121939536034227e-09 -1.322058612780548e-09 8.524811538419254e-09  00100000
116769631 B 5.457742721716879e-07 -9.383038403250188e-06 8.525367568190387e-07 -0.0004170109491767795 -7.381489950910207e-06 -0.0005841379766344411 5.614175551722154e-08 3.183787004442667e-09 4.918594088245239e-08  00100000
116769632 B 5.456639530627337e-07 -9.383038835236872e-06 8.52619627912556e-07 -0.0004171204906261458 -7.447725870625563e-06 -0.000584145063465996 3.349291088575938e-10 8.465429582980443e-10 9.779795337738582e-09  00100000
116769633 B 5.455554400185539e-07 -9.383047847963352e-06 8.52694119863546e-07 -0.000417176479671764 -7.40311306120986e-06 -0.0005841168987643173 3.727889434309063e-10 9.748004774749012e-09 1.364636128576531e-08  00100000
116769634 B 5.454492418266465e-07 -9.383064647730206e-06 8.527580758216553e-07 -0.0004172958230679323 -7.383811495001765e-06 -0.0005841567255813492 2.219190438419174e-09 -1.71209884560397e-09 6.409884056609433e-08  00100000
116769635 B 5.453459864023647e-07 -9.383087915343652e-06 8.52810181839564e-07 -0.0004174318792952798 -7.369836461485202e-06 -0.0005841650888941959 -1.46065248553184e-08 1.351620897849277e-08 -1.231613715352875e-07  00100000
116769636 B 5.45246381484259e-07 -9.383115878614028e-06 8.528498262941809e-07 -0.0004175145498138612 -7.387257182487148e-06 -0.0005841461284080795 -2.971142270701929e-12 -5.359507108796037e-10 -1.607263770671548e-10  00100000
116769637 B 5.451511552206046e-07 -9.383146420376247e-06 8.528769516954443e-07 -0.0004174485647030682 -7.338197249546002e-06 -0.000584161170402097 -3.549540953076365e-09 -1.171534011672494e-09 7.993640699804833e-08  00100000
116769638 B 5.45060982187127e-07 -9.383177215794727e-06 8.52891914246397e-07 -0.0004173173319452101 -7.250980957450093e-06 -0.0005842487643844107 -7.978555447917476e-09 -4.941745520160423e-08 -1.824321691271306e-07  00100000
116769639 B 5.449764025846746e-07 -9.383205889882579e-06 8.528953617347777e-07 -0.0004180984770575893 -7.367860395489796e-06 -0.0005841113031991461 -1.257275066092407e-09 -9.827235184364455e-10 -4.04195039564446e-08  00100000
116769640 B 5.448977438902273e-07 -9.383230183835493e-06 8.528881350847061e-07 -0.00041756433530244 -7.269293121983677e-06 -0.0005841436620432121 -1.116877469061753e-09 1.051702772827997e-09 -1.524092088990401e-08  00100000
116769641 B 5.448250544890386e-07 -9.383248117422246e-06 8.528711945943771e-07 -0.0004175403128191735 -7.303371088191459e-06 -0.0005841778272555933 1.338142257392846e-09 3.82380135157385e-09 1.077184705405882e-08  00100000
116769642 B 5.447580577896695e-07 -9.383258134478724e-06 8.528455691693252e-07 -0.0004175927475205572 -7.3130562039727e-06 -0.0005841347419116307 1.82128649201651e-09 -1.228474087612683e-09 6.191959209575635e-09  00100000
116769643 B 5.446961333607461e-07 -9.383259219524484e-06 8.528123246570362e-07 -0.0004174987320190865 -7.333043520832767e-06 -0.0005841901989970207 -9.541205669609557e-10 2.807667628884023e-10 -1.081731141904687e-09  00100000
116769644 B 5.446383287718252e-07 -9.383250975553648e-06 8.527725459314922e-07 -0.0004174136560345462 -7.344810204356488e-06 -0.0005841749759007779 -6.255654685568472e-10 -6.613272107484181e-10 -6.954202382426047e-09  00100000
116769645 B 5.445834027403044e-07 -9.383233656002107e-06 8.527273271649608e-07 -0.0004174212246578574 -7.373135015721377e-06 -0.0005841653856497374 -8.02634938449805e-10 -1.996347748541361e-09 -3.689334821219428e-09  00100000
116769646 B 5.44529897294801e-07 -9.383208147537946e-06 8.526777649507493e-07 -0.0004174467875111723 -7.379340507858073e-06 -0.0005841638793994033 -1.91269123467367e-09 5.172618480426877e-10 -2.316626140165345e-09  00100000
116769647 B 5.444762339415082e-07 -9.383175904380095e-06 8.526249497316549e-07 -0.0004174505040631163 -7.380772644118205e-06 -0.00058418972375978 3.969896125937224e-10 -1.688235100581894e-09 -7.727447881772925e-09  00100000
116769648 B 5.444208264202032e-07 -9.383138839078792e-06 8.525699520147764e-07 -0.0004174662522548976 -7.387358944721862e-06 -0.0005841321047376385 4.130020378480517e-10 1.095697915971938e-09 3.228191290844339e-10  00100000
116769649 B 5.443622008586709e-07 -9.383099178753861e-06 8.525138010516375e-07 -0.0004174636379051424 -7.372119491787892e-06 -0.0005841912955752741 6.445495274460087e-10 -1.617929595860149e-08 3.849426784144464e-09  00100000
116769650 B 5.44299113114306e-07 -9.383059298807284e-06 8.524574559952464e-07 -0.0004174606174967171 -7.368387141532288e-06 -0.0005841379386247234 2.276073779762742e-10 -3.328661958252745e-09 -4.67101321717512e-08  00100000
116769651 B 5.442306528271973e-07 -9.383021548117159e-06 8.52401771954027e-07 -0.0004174405749964522 -7.348809100431191e-06 -0.0005840800817255896 -1.419638862550888e-09 -9.175800300763762e-09 8.181314111625774e-10  00100000
116769652 B 5.441563243760535e-07 -9.382988080427742e-06 8.523474647660312e-07 -0.0004173270974905144 -7.349982399854899e-06 -0.0005841556740473961 -4.994106104439545e-11 -8.437524659531993e-10 -1.576425062220196e-08  00100000
116769653 B 5.440760967833906e-07 -9.382960705671749e-06 8.522950787721196e-07 -0.0004173086888206737 -7.321605669619278e-06 -0.0005841078163140808 8.528045573788364e-09 8.811922623952072e-09 -3.503424866595998e-10  00100000
116769654 B 5.43990417285522e-07 -9.382940772616214e-06 8.522449621078951e-07 -0.0004172587878809557 -7.305443846937501e-06 -0.0005841022780542706 -3.715354448389878e-09 4.397525688411345e-09 3.26755061486149e-09  00100000
116769655 B 5.43900186344671e-07 -9.382929091005591e-06 8.521972540005191e-07 -0.0004173377826190318 -7.298948439877334e-06 -0.000584218307802405 1.097510130714598e-09 6.863781349635402e-09 -2.630754560142708e-08  00100000
116769656 B 5.438066950557777e-07 -9.382925897701926e-06 8.521518877027653e-07 -0.0004173275128362266 -7.247468696969027e-06 -0.0005841557045241435 -6.235952729426884e-09 -2.505837833500346e-07 -7.471887298404848e-07  00100000
116769657 B 5.437115292711906e-07 -9.382930867371884e-06 8.521086110552006e-07 -0.0004170955861646197 -7.269992286038447e-06 -0.0005841136424186652 -8.981221047080209e-10 2.027489131552074e-09 9.174361814071668e-08  00100000
116769658 B 5.4361644798384e-07 -9.382943164331496e-06 8.520670247213264e-07 -0.0004172227722278036 -7.280585985476943e-06 -0.000584067746912162 -3.666936958782007e-08 8.693020302178097e-08 1.897252199422579e-07  00100000
116769659 B 5.435232459756886e-07 -9.382961528707189e-06 8.520266360578506e-07 -0.0004170811321419095 -7.195630567255978e-06 -0.0005840801344099773 2.774345779974305e-09 -4.146846968519567e-08 -1.401917991637265e-07  00100000
