  NSN/PRN #s, masses, and yaw rates satellites.   Last updated w/ comments R. King  18 June 2005    
PRN SV BLK  MASS(G)  BIASED  YAW RATE  YR MO DY HR MN   DX      DY      DZ     (see key at bottom)
23, 23  3   972900.     Y     0.1190 1995 02 08 18 00   0.279   0.      0.9519  
23, 23  3   972900.     P     0.1190 1995 08 06 10 05   0.279   0.      0.9519  
24, 24  3   972900.     U     0.1190 1991 07 04 00 00   0.279   0.      0.9519   #launched 91 07 04; set healthy 91 08 30
24, 24  3   972900.     Y     0.1190 1993 01 01 00 00   0.279   0.      0.9519  
24, 24  3   972900.     P     0.1190 1995 06 13 04 59   0.279   0.      0.9519  
25, 25  3   972900.     U     0.1190 1992 02 23 00 00   0.279   0.      0.9519   #launched 92 02 23; set healthy 92 03 24
25, 25  3   972900.     Y     0.1190 1994 06 06 00 00   0.279   0.      0.9519  
25, 25  3   972900.     P     0.1010 1995 10 23 00 00   0.279   0.      0.9519  
26, 26  3   972900.     U     0.1190 1992 07 07 00 00   0.279   0.      0.9519   #launched 92 7 7; set healthy 92 7 23
26, 26  3   972900.     Y     0.1190 1994 06 06 00 00   0.279   0.      0.9519  
26, 26  3   972900.     P     0.1190 1995 03 25 00 00   0.279   0.      0.9519  
26, 26  3   972900.     N     0.1190 1995 03 26 13 40   0.279   0.      0.9519  
26, 26  3   972900.     Y     0.1190 1995 03 28 00 00   0.279   0.      0.9519  
26, 26  3   972900.     P     0.1230 1995 09 23 21 00   0.279   0.      0.9519  
27, 27  3   972900.     U     0.1190 1992 09 28 00 00   0.279   0.      0.9519  
27, 27  3   972900.     Y     0.1190 1994 06 06 00 00   0.279   0.      0.9519  
27, 27  3   972900.     P     0.1200 1995 10 23 00 00   0.279   0.      0.9519  
28, 28  3   972900.     U     0.1190 1992 04 10 00 00   0.279   0.      0.9519   #launched 92 04 10
28, 28  3   972900.     Y     0.1190 1994 06 06 00 00   0.279   0.      0.9519  
28, 28  3   972900.     N     0.1190 1995 03 30 00 00   0.279   0.      0.9519  
28, 28  3   972900.     P     0.1260 1995 03 31 19 19   0.279   0.      0.9519   #nav problems 96 Nov: inoperable 97 May
29, 29  3   972900.     U     0.1190 1992 12 18 00 00   0.279   0.      0.9519   #launched 92 12 18; set healthy 93 01 05
29, 29  3   972900.     Y     0.1190 1994 06 06 00 00   0.279   0.      0.9519  
29, 29  3   972900.     P     0.1270 1995 01 09 21 00   0.279   0.      0.9519  
31, 31  3   972900.     U     0.1190 1993 03 30 00 00   0.279   0.      0.9519   #launched 93 03 30; set healthy 93 04 13
31, 31  3   972900.     Y     0.1190 1994 06 06 00 00   0.279   0.      0.9519  
31, 31  3   972900.     N     0.1190 1995 03 30 00 00   0.279   0.      0.9519  
31, 31  3   972900.     P     0.0970 1995 03 31 03 00   0.279   0.      0.9519  
32, 32  3   972900.     U     0.1190 1992 12 11 00 00   0.279   0.      0.9519    Duplicate entries for
32, 32  3   972900.     Y     0.1190 1994 06 06 00 00   0.279   0.      0.9519    SV 32 (correctly PRN 1)
 1, 32  3   972900.     U     0.1190 1992 11 22 00 00   0.279   0.      0.9519   #launched 92 11 22; set healthy 92 12 11
 1, 32  3   972900.     Y     0.1190 1994 06 06 00 00   0.279   0.      0.9519  
